week,week_start,week_end,week_id,P_t,E_P_t,H1t,H2t,H1t_norm,H2t_norm,H3t,WeekPositive,WeekNeutral,WeekNegative,NewsCount,close,return,H3_lag1,H3_lag2,H3_lag3,H3_lag4,H3_lag5,H3_roll_mean_3,H3_roll_std_3,H3_roll_mean_5,H3_roll_std_5,month,quarter
2015-04-01,2015-03-26,2015-04-01,298,0.7842465753424658,0.8335214783409816,-0.04927490299851578,0.43150684931506844,0.33074200037804946,0.6280761304400532,0.12301084460660155,229,390,63,682,4123.9,0.04656622026641899,0.2688887621984013,0.007525969220859392,0.30528113527786466,0.10591875021827074,0.009880253550088553,0.13314185867528738,0.13097559113361665,0.16212509230439953,0.12296554392483613,4,2
2015-04-09,2015-04-02,2015-04-09,299,0.8221153846153846,0.8281613212287307,-0.00604593661334607,0.3557692307692307,0.04058141260505781,0.47123893805309724,0.021457870824355792,171,306,37,514,4262.14,0.03352166638376319,0.12301084460660155,0.2688887621984013,0.007525969220859392,0.30528113527786466,0.10591875021827074,0.13778582587645286,0.12437538564837518,0.14523291642561653,0.13755315904182033,4,2
2015-04-16,2015-04-10,2015-04-16,300,0.784688995215311,0.8216115156971836,-0.03692252048187261,0.430622009569378,0.24783059001743515,0.6262438074268535,0.09262821772807302,164,369,45,578,4513.55,0.058986800058186795,0.021457870824355792,0.12301084460660155,0.2688887621984013,0.007525969220859392,0.30528113527786466,0.07903231105301008,0.0521237770095584,0.10270233291565822,0.10463156257594051,4,2
2015-04-23,2015-04-17,2015-04-23,301,0.7848101265822784,0.814500936218183,-0.029690809635904536,0.430379746835443,0.1992900477575516,0.6257421306149881,0.07458586866337853,186,333,51,570,4740.89,0.050368335345792214,0.09262821772807302,0.021457870824355792,0.12301084460660155,0.2688887621984013,0.007525969220859392,0.06289065240526907,0.03699848824062753,0.11611431280416204,0.09303714967899754,4,2
2015-04-30,2015-04-24,2015-04-30,302,0.7309644670050761,0.79396527043886,-0.06300080343378389,0.5380710659898478,0.42287270973910607,0.8487489331117201,0.06395994850597772,144,379,53,576,4749.89,0.001898377730763734,0.07458586866337853,0.09262821772807302,0.021457870824355792,0.12301084460660155,0.2688887621984013,0.07705801163247639,0.014493137451649653,0.07512855006567733,0.03743169269792226,4,2
2015-05-08,2015-05-04,2015-05-08,303,0.8571428571428571,0.7806447433545125,0.07649811378834459,0.2857142857142857,0.5134690814158851,0.3261694058154235,0.3459911762258746,108,460,18,586,4558.4,-0.040314617812202136,0.06395994850597772,0.07458586866337853,0.09262821772807302,0.021457870824355792,0.12301084460660155,0.1615123311317436,0.15985168363281688,0.11972461638953194,0.12916494196860606,5,2
2015-05-15,2015-05-11,2015-05-15,304,0.8769230769230769,0.7894016114863807,0.08752146543669626,0.24615384615384617,0.5874597978492856,0.2442477876106195,0.4439740419144158,114,464,16,594,4617.47,0.012958494208494375,0.3459911762258746,0.06395994850597772,0.07458586866337853,0.09262821772807302,0.021457870824355792,0.28464172221542267,0.19729544958714765,0.20422785060754395,0.177842403997007,5,2
2015-05-22,2015-05-18,2015-05-22,305,0.859504132231405,0.8124601319133221,0.04704400031808287,0.28099173553719003,0.31576778084082663,0.31638996562568555,0.21586202351489847,104,424,17,545,4951.33,0.07230366412775813,0.4439740419144158,0.3459911762258746,0.06395994850597772,0.07458586866337853,0.09262821772807302,0.33527574721839626,0.11443289976526061,0.22887461176490903,0.1666997633324678,5,2
2015-05-29,2015-05-25,2015-05-29,306,0.9,0.8311336333256037,0.06886636667439627,0.19999999999999996,0.46224342386517,0.14867256637168133,0.39352050775070224,90,468,10,568,4840.83,-0.022317235974980476,0.21586202351489847,0.4439740419144158,0.3459911762258746,0.06395994850597772,0.07458586866337853,0.3511188577266721,0.11982152635543289,0.2926615395823738,0.15339054598928625,5,2
2015-06-05,2015-06-01,2015-06-05,307,0.8976377952755905,0.8733925165743347,0.024245278701255812,0.20472440944881887,0.16273866592123387,0.15845585673472226,0.13695177118881902,114,457,13,584,5230.55,0.08050685522937195,0.39352050775070224,0.21586202351489847,0.4439740419144158,0.3459911762258746,0.06395994850597772,0.24877810081813986,0.13141339450000902,0.30725990411894205,0.12746586932602003,6,2
2015-06-12,2015-06-08,2015-06-12,308,0.9358974358974359,0.8835162511075181,0.05238118478991782,0.1282051282051282,0.3515919217560209,0.0,0.3515919217560209,146,531,10,687,5335.12,0.01999216143617777,0.13695177118881902,0.39352050775070224,0.21586202351489847,0.4439740419144158,0.3459911762258746,0.29402140023184736,0.13763231036593215,0.3083800532249713,0.12791514184294836,6,2
2015-06-19,2015-06-15,2015-06-19,309,0.8775510204081632,0.8982598408511079,-0.020708820442944642,0.24489795918367352,0.13900132282301325,0.24164710131840356,0.10541205608340844,86,414,12,512,4637.05,-0.13084429216212567,0.3515919217560209,0.13695177118881902,0.39352050775070224,0.21586202351489847,0.4439740419144158,0.19798524967608275,0.1339587462162806,0.2406676560587698,0.1278031381615722,6,2
2015-06-29,2015-06-23,2015-06-29,310,0.8629032258064516,0.9027715628952974,-0.03986833708884574,0.27419354838709675,0.26760344025250343,0.3023123037396517,0.18670362774111288,107,418,17,542,4191.55,-0.09607401257264858,0.10541205608340844,0.3515919217560209,0.13695177118881902,0.39352050775070224,0.21586202351489847,0.2145692018601807,0.12543324611675072,0.2348359769040127,0.12986658830635656,6,2
2015-07-06,2015-06-30,2015-07-06,311,0.8974358974358975,0.8934973693469104,0.003938528088987092,0.20512820512820518,0.026436108027162716,0.1592920353982302,0.022225046571508474,105,380,12,497,3998.54,-0.04604740489794945,0.18670362774111288,0.10541205608340844,0.3515919217560209,0.13695177118881902,0.39352050775070224,0.10478024346534322,0.08224111080402448,0.16057688466817394,0.12238452363523733,7,3
2015-07-13,2015-07-07,2015-07-13,312,0.8787878787878788,0.893446894886987,-0.014659016099108246,0.24242424242424243,0.09839394931612815,0.23652453740949317,0.07512136597023782,203,505,28,736,4211.81,0.053336967993317774,0.022225046571508474,0.18670362774111288,0.10541205608340844,0.3515919217560209,0.13695177118881902,0.09468334676095302,0.08396608979364113,0.14821080362445768,0.12834697735905,7,3
2015-07-20,2015-07-14,2015-07-20,313,0.8295454545454546,0.8791695056095978,-0.04962405106414325,0.34090909090909094,0.3330855449134336,0.44046661303298473,0.1863724830951674,146,481,30,657,4160.61,-0.01215629384991268,0.07512136597023782,0.022225046571508474,0.18670362774111288,0.10541205608340844,0.3515919217560209,0.09457296521230453,0.08378465709261854,0.115166915892287,0.07163226991746957,7,3
2015-07-27,2015-07-21,2015-07-27,314,0.8208092485549133,0.8671681141439207,-0.04635886558900737,0.35838150289017345,0.31116903346572317,0.47664842191416446,0.16285080471573038,142,339,31,512,3818.73,-0.08217064324702383,0.1863724830951674,0.07512136597023782,0.022225046571508474,0.18670362774111288,0.10541205608340844,0.14144821792704518,0.058632378480849935,0.1266546656187514,0.07423523821047365,7,3
2015-08-03,2015-07-28,2015-08-03,315,0.8152866242038217,0.856644619831036,-0.04135799562721432,0.3694267515923567,0.27760229595547875,0.4995208838284201,0.13893415172699936,128,393,29,550,3829.24,0.002752223906900886,0.16285080471573038,0.1863724830951674,0.07512136597023782,0.022225046571508474,0.18670362774111288,0.16271914651263233,0.02371943973117603,0.11710077041592867,0.06732756814270127,8,3
2015-08-10,2015-08-04,2015-08-10,316,0.7951219512195122,0.836107301523017,-0.04098535030350481,0.40975609756097564,0.2751010336029396,0.5830347507014894,0.11470757105852766,163,345,42,550,4084.36,0.066624186522652,0.13893415172699936,0.16285080471573038,0.1863724830951674,0.07512136597023782,0.022225046571508474,0.1388308425004191,0.024071783094325595,0.13559727531333252,0.04308632813638065,8,3
2015-08-17,2015-08-11,2015-08-17,317,0.8009950248756219,0.8151908196309255,-0.014195794755303637,0.3980099502487562,0.09528472444617032,0.5587108704266278,0.04204811311248912,161,347,40,548,4077.87,-0.001588988238059419,0.11470757105852766,0.13893415172699936,0.16285080471573038,0.1863724830951674,0.07512136597023782,0.098563278632672,0.05042028116791677,0.1289826247417828,0.055455091776568315,8,3
2015-08-24,2015-08-18,2015-08-24,318,0.7731481481481481,0.8080532122134674,-0.034905064065319236,0.4537037037037037,0.23428906014559567,0.6740412979351033,0.0763685579530629,167,404,49,620,3275.53,-0.196754678300191,0.04204811311248912,0.11470757105852766,0.13893415172699936,0.16285080471573038,0.1863724830951674,0.07770808070802653,0.03634824546193905,0.10698183971336188,0.04836202096863529,8,3
2015-08-31,2015-08-25,2015-08-31,319,0.6947368421052632,0.7961379371117759,-0.10140109500651273,0.6105263157894737,0.6806223647764229,0.998789007918025,0.0008242282945593133,132,349,58,539,3366.54,0.02778481650297815,0.0763685579530629,0.04204811311248912,0.11470757105852766,0.13893415172699936,0.16285080471573038,0.039746966453370405,0.037824699507706415,0.07457652442912767,0.05534689514109943,8,3
2015-09-09,2015-09-01,2015-09-09,320,0.7480916030534351,0.7660004915871363,-0.017908888533701206,0.5038167938931297,0.12020767688497053,0.7778153077078969,0.026708305699835736,98,458,33,589,3399.31,0.009734029597153082,0.0008242282945593133,0.0763685579530629,0.04204811311248912,0.11470757105852766,0.13893415172699936,0.03463369731581928,0.03839069301390942,0.05213135522369494,0.044394958262849255,9,3
2015-09-16,2015-09-10,2015-09-16,321,0.9032258064516129,0.754242904545617,0.14898290190599583,0.19354838709677424,1.0,0.13531258920924932,0.8646874107907507,112,429,12,553,3309.25,-0.026493611938893435,0.026708305699835736,0.0008242282945593133,0.0763685579530629,0.04204811311248912,0.11470757105852766,0.2974066482617152,0.4914499913698479,0.20212732317013957,0.37138970702153645,9,3
2015-09-23,2015-09-17,2015-09-23,322,0.8323699421965318,0.7798005999396148,0.05256934225691701,0.33526011560693647,0.35285486847401343,0.42876873497365603,0.20156173288911491,144,481,29,654,3263.03,-0.013966910931479837,0.8646874107907507,0.026708305699835736,0.0008242282945593133,0.0763685579530629,0.04204811311248912,0.3643191497932337,0.4420630359012373,0.23403004712546469,0.3609041788851325,9,3
2015-09-30,2015-09-24,2015-09-30,323,0.8148148148148148,0.7946060484517108,0.02020876636310398,0.37037037037037035,0.13564487001236666,0.5014749262536873,0.06762236882622409,110,462,25,597,3202.95,-0.018412334547950993,0.20156173288911491,0.8646874107907507,0.026708305699835736,0.0008242282945593133,0.0763685579530629,0.3779571708353631,0.4268075481720827,0.23228080930009692,0.3618792534848615,9,3
2015-10-14,2015-10-08,2015-10-14,324,0.7817460317460317,0.8246255416290986,-0.04287950988306688,0.4365079365079365,0.28781497295657915,0.6384323640960808,0.10406457934966075,197,447,55,699,3406.11,0.06342902636631864,0.06762236882622409,0.20156173288911491,0.8646874107907507,0.026708305699835736,0.0008242282945593133,0.12441622702166655,0.0692501298454888,0.2529288795111172,0.34805240809602817,10,4
2015-10-21,2015-10-15,2015-10-21,325,0.7920353982300885,0.8330391488022478,-0.041003750572159325,0.415929203539823,0.2752245395114641,0.5958179967107838,0.11124080573409557,179,468,47,694,3473.25,0.019711635854390952,0.10406457934966075,0.06762236882622409,0.20156173288911491,0.8646874107907507,0.026708305699835736,0.09430925130332678,0.02338839089249723,0.2698353795179692,0.3361668219234705,10,4
